wikidata_link,label
http://www.wikidata.org/entity/Q210,right angle
http://www.wikidata.org/entity/Q32032,net
http://www.wikidata.org/entity/Q114817,surface roughness
http://www.wikidata.org/entity/Q129609,Q10
http://www.wikidata.org/entity/Q159190,amplitude
http://www.wikidata.org/entity/Q82642,blood pressure
http://www.wikidata.org/entity/Q111146,hematocrit
http://www.wikidata.org/entity/Q2101,elementary charge
http://www.wikidata.org/entity/Q2111,speed of light
http://www.wikidata.org/entity/Q81938,pain
http://www.wikidata.org/entity/Q159914,vertical deflection
http://www.wikidata.org/entity/Q165074,parallax
http://www.wikidata.org/entity/Q11430,state of matter
http://www.wikidata.org/entity/Q5962,Boltzmann constant
http://www.wikidata.org/entity/Q432392,serum chloride level
http://www.wikidata.org/entity/Q476112,human height
http://www.wikidata.org/entity/Q490349,AST/ALT ratio
http://www.wikidata.org/entity/P1108,electronegativity
http://www.wikidata.org/entity/Q1075,color
http://www.wikidata.org/entity/Q18373,gravitational constant
http://www.wikidata.org/entity/Q58257,shruti
http://www.wikidata.org/entity/Q80994,adult
http://www.wikidata.org/entity/Q494390,cold inflation pressure
http://www.wikidata.org/entity/Q568855,helicity
http://www.wikidata.org/entity/Q647631,constant of motion
http://www.wikidata.org/entity/Q735075,self-information
http://www.wikidata.org/entity/Q854659,gain
http://www.wikidata.org/entity/Q660995,vital capacity
http://www.wikidata.org/entity/Q754250,respiratory rate
http://www.wikidata.org/entity/Q754333,respiratory minute volume
http://www.wikidata.org/entity/Q797258,body fat percentage
http://www.wikidata.org/entity/Q809826,base excess
http://www.wikidata.org/entity/Q811148,waist circumference
http://www.wikidata.org/entity/Q899046,Extent of reaction
http://www.wikidata.org/entity/Q900522,ozone depletion potential
http://www.wikidata.org/entity/Q900892,photosynthetically active radiation
http://www.wikidata.org/entity/Q901028,global warming potential
http://www.wikidata.org/entity/Q902301,Multiplicity
http://www.wikidata.org/entity/Q1142730,cycle threshold
http://www.wikidata.org/entity/Q176224,unison
http://www.wikidata.org/entity/Q185892,creep limit
http://www.wikidata.org/entity/Q245254,Zwölfter
http://www.wikidata.org/entity/Q256124,equivalent number
http://www.wikidata.org/entity/Q276258,childhood
http://www.wikidata.org/entity/Q1055865,overcast
http://www.wikidata.org/entity/Q3814108,electron rest mass
http://www.wikidata.org/entity/Q5283071,distortion free energy density
http://www.wikidata.org/entity/Q5597405,Grasp
http://www.wikidata.org/entity/Q17105732,self-dual Palatini action
http://www.wikidata.org/entity/Q17160411,tetradic Palatini action
http://www.wikidata.org/entity/Q18095102,specific acoustic impedance
http://www.wikidata.org/entity/Q21652129,Gravitational field strength
http://www.wikidata.org/entity/Q48996966,Zilch
http://www.wikidata.org/entity/Q56759471,Metachronal rhythm
http://www.wikidata.org/entity/Q85687465,document destruction
http://www.wikidata.org/entity/Q85708920,hard drive destruction
http://www.wikidata.org/entity/Q87473209,reference sound power
http://www.wikidata.org/entity/Q87473874,reference sound pressure
http://www.wikidata.org/entity/Q29539,density
http://www.wikidata.org/entity/Q128709,viscosity
http://www.wikidata.org/entity/Q876152,waist-hip ratio
http://www.wikidata.org/entity/Q886470,blood alcohol level
http://www.wikidata.org/entity/Q907072,Transferrin saturation
http://www.wikidata.org/entity/Q1073121,Heart Rate
